Date,ATR_14,Volume,MACD_Histogram,Bollinger_Upper,OBV,EMA_20,SMA_20,High,Close,Open,rolling_logvol_30
2010-02-17,0.2165714285714287,178272080.0,0.00875307853344856,6.349445394417137,-2346001440.0,6.030125021776827,6.0076,5.8565,5.8155,5.85,0.01954722887513307
2010-02-18,0.21385714285714302,195926320.0,0.013326141648613482,6.305976907914894,-2150075120.0,6.018113114940939,5.98835,5.9255,5.904,5.7975,0.01937088413730324
2010-02-19,0.19378571428571448,142306200.0,0.015115584741194621,6.242452535324832,-2292381320.0,6.004578532565612,5.9656,5.9545,5.876,5.8915,0.019259797173828096
2010-02-22,0.16235714285714303,136139720.0,0.018382479042708733,6.230675156584309,-2156241600.0,5.994666291368887,5.957050000000001,5.9485,5.9005,5.8665,0.018415563962746764
2010-02-23,0.15578571428571447,141324400.0,0.018341744932777904,6.224702914542485,-2297566000.0,5.982031406476612,5.949375000000001,5.9625,5.862,5.9005,0.018574113988147022
2010-02-24,0.15435714285714308,147797780.0,0.026558554586832483,6.22558102602074,-2149768220.0,5.982409367764554,5.949975,5.99,5.986,5.8885,0.018283611293576765
2010-02-25,0.15178571428571447,190486780.0,0.026696228875566747,6.200032611826285,-2340255000.0,5.975513237501263,5.938599999999999,5.917,5.91,5.9145,0.018046147439357018
2010-02-26,0.14778571428571446,114278980.0,0.02719031350508841,6.117419569218847,-2225976020.0,5.970226262501143,5.919525,5.9715,5.92,5.8945,0.020380307494641287
2010-03-01,0.15739285714285733,265717480.0,0.046773762428017424,6.09931792661287,-1960258540.0,5.9946809041677005,5.91735,6.233,6.227,5.9425,0.02044040975119491
2010-03-02,0.15935714285714297,241933260.0,0.06075580301597573,6.176809867136706,-1718325280.0,6.021520818056491,5.933999999999999,6.3675,6.2765,6.25,0.02043523087082273
2010-03-03,0.1590000000000001,128695820.0,0.06834529653007514,6.244221958465231,-1589629460.0,6.0475188353844445,5.953425,6.347,6.2945,6.27,0.020613845622422692
2010-03-04,0.15671428571428583,149804580.0,0.07864965251103237,6.336635927015084,-1439824880.0,6.083612279633545,5.977,6.4425,6.4265,6.2945,0.020588147570139794
2010-03-05,0.1559642857142858,135380420.0,0.08272480584427064,6.414763101238692,-1304444460.0,6.118077776811303,6.009425,6.4725,6.4455,6.437,0.01900845452055406
