Date,RSI_14,MACD_Histogram,MACD,OBV,Volume,Close,Low,High,rolling_logvol_30,MACD_Signal,log_returns
2010-02-17,59.99196523136481,0.005471548412870732,-0.0021507236125719587,836533073.0,947342469,0.409058,0.397346,0.410388,0.028131157281144036,-0.007622272025442691,-0.06799665277680729
2010-02-18,54.36792946176201,0.0040653513429871795,-0.0025405828467087166,-804508547.0,1641041620,0.382168,0.371694,0.388561,0.030475516439513007,-0.006605934189695896,-0.005204956448301591
2010-02-19,59.94467678249511,0.0029044726231059062,-0.0029753434108135135,-1361190735.0,556682188,0.380184,0.378386,0.384745,0.030412384098190092,-0.00587981603391942,0.0017292448982489407
2010-02-22,50.40574733417677,0.0021201962603410018,-0.003229570708493168,-863753418.0,497437317,0.380842,0.378386,0.387422,0.030283892432260238,-0.00534976696883417,-0.02431365583002647
2010-02-23,44.78116510715365,0.0009824516543630243,-0.004121702400880389,-1395353667.0,531600249,0.371694,0.367783,0.383548,0.03049482797505669,-0.005104154055243414,0.020902231758195923
2010-02-24,46.94359509781988,0.000765399714822629,-0.004147404411715128,-910815924.0,484537743,0.379545,0.37377,0.383068,0.030784738632149266,-0.004912804126537757,-0.009336152296601655
2010-02-25,55.621336632205264,0.00040893644346450073,-0.004401633572207131,-1538932669.0,628116745,0.376018,0.361341,0.376967,0.030242639044057953,-0.004810570015671632,-0.012155447442065068
2010-02-26,49.77382875605816,-8.199155143119238e-05,-0.004913059454960622,-1965821550.0,426888881,0.371475,0.36919,0.376967,0.030140467807378144,-0.00483106790352943,0.039111993022088815
2010-03-01,56.65694591728528,0.0006042326735277749,-0.004075777061619712,-1363806453.0,602015097,0.386292,0.368741,0.388122,0.031013366098118198,-0.004680009735147487,-0.0004401784606309255
2010-03-02,58.086523216308045,0.0010344876007372357,-0.0033869002342259424,-1950836898.0,587030445,0.386122,0.383328,0.39458,0.030543416831459235,-0.004421387834963178,-0.01282658663240442
2010-03-03,52.69505905839295,0.000976195729524741,-0.0032011431730572526,-2383768404.0,432931506,0.381201,0.378167,0.390439,0.03040036574506986,-0.004177338902581994,0.0019602967687405272
2010-03-04,44.26391959142337,0.0009743053346479595,-0.002959457234272045,-1776540299.0,607228105,0.381949,0.377217,0.385862,0.03040037912944351,-0.003933762568920004,0.030182718744338123
2010-03-05,47.92813323430964,0.0017048310759304264,-0.0018027237240069716,-1090666260.0,685874039,0.393653,0.379286,0.396428,0.030775767086481286,-0.003507554799937398,-0.014742860223428815
2010-03-08,41.06152190113437,0.0017376645421549883,-0.0013354741222436628,-1566505170.0,475838910,0.387892,0.386292,0.395049,0.030189916779812233,-0.003073138664398651,0.03671966842441476
2010-03-09,46.895458360533425,0.0026210365612998176,0.00020315703722612044,-668268402.0,898236768,0.4024,0.391587,0.406344,0.030767005239661225,-0.002417879524073697,0.002229123993968889
2010-03-10,63.00499766119304,0.003116669569735607,0.0014779574380958116,-212019006.0,456249396,0.403298,0.401021,0.407693,0.030104746709918567,-0.0016387121316397955,-0.02298986420932515
2010-03-11,57.88735580185477,0.0026939288876672396,0.001728698977944254,-795066325.0,583047319,0.394132,0.392484,0.401501,0.030110906262472075,-0.0009652299097229856,0.0034876643836785313
2010-03-12,58.22703866994244,0.002384419754114439,0.002015294782920063,-229251126.0,565815199,0.395509,0.393413,0.399673,0.02937789681683054,-0.00036912497119437587,-0.00531359229830656
2010-03-15,63.22925676416485,0.0019350336203551664,0.002049667054249582,-620586292.0,391335166,0.393413,0.38974,0.398945,0.028070050105320894,0.00011463343389441573,0.03398517530888708
2010-03-16,65.63595792158114,0.0024188045746856017,0.003138139152251418,104489008.0,725075300,0.407013,0.392953,0.409488,0.025462343895902774,0.0007193345775658162,0.01941170728411739
2010-03-17,71.11510830344469,0.0030978043898715725,0.004591590064905282,814495471.0,710006463,0.414991,0.409488,0.420501,0.02561716852334228,0.0014937856750337096,-0.03593515358365247
2010-03-18,64.09680443784671,0.0024125765961597522,0.0045095064202334,6579516.0,807915955,0.400343,0.396677,0.415688,0.02653644310247018,0.002096929824073648,-0.012148136711045456
2010-03-19,54.9870683591425,0.0015290059425330394,0.0040081872522399475,-630865271.0,637444787,0.395509,0.390439,0.407433,0.0241008349619762,0.002479181309706908,0.01612928079437973
2010-03-22,58.01560758082498,0.0012828571296226734,0.00408275272173525,-156195113.0,474670158,0.40194,0.390439,0.403518,0.02401590769100533,0.0027998955921125766,0.020239627569431193
2010-03-23,64.19920170251162,0.0015602537794229942,0.004750212816391319,382018592.0,538213705,0.410158,0.40214,0.412225,0.024212804827918974,0.003189959036968325,-0.03404801563492124
2010-03-24,56.29801042201325,0.0007470307722901568,0.004123747502331021,-93756573.0,475775165,0.396428,0.395509,0.407912,0.025084370324737818,0.0033767167300408642,0.0027659050776140887
2010-03-25,51.85589833529802,0.00023744467167623358,0.003673522569636156,446171527.0,539928100,0.397526,0.396677,0.404695,0.024887364212614935,0.0034360778979599226,0.0
2010-03-26,54.88628755756628,-0.00012572733221941513,0.003278918732685654,446171527.0,375821026,0.397526,0.394331,0.405164,0.023546227551673755,0.003404646064905069,0.012732848310326872
2010-03-29,50.123362641306294,-5.2718002737676614e-05,0.0033387485614829737,876241899.0,430070372,0.40262,0.39458,0.403518,0.023536371745387603,0.0033914665642206503,0.003906719758827644
2010-03-30,50.499744006410985,6.54636802562402e-05,0.003473296164540951,1229629172.0,353387273,0.404196,0.397346,0.409288,0.023298373124474723,0.003407832484284711,-0.013076346052616948
2010-03-31,52.80050272893368,-0.00023006915566331672,0.0031202460397055654,804653222.0,424975950,0.398945,0.396907,0.404435,0.023341848025726062,0.003350315195368882,-0.01036827026255092
2010-04-01,49.61711533907003,-0.0006963966772111545,0.002479819348854939,434345332.0,370307890,0.39483,0.390659,0.405414,0.019713329139139164,0.0031762160260660937,0.014937394536528998
2010-04-05,53.97719288763984,-0.0006019278657104646,0.002423806193928013,885355260.0,451009928,0.400772,0.396907,0.401501,0.019834301605552412,0.0030257340596384777,-0.024892309651654742
2010-04-06,40.93479632299928,-0.0011675430729230062,0.0015663052184847204,4110685.0,881244575,0.390919,0.384047,0.396677,0.020422431861973036,0.0027338482914077266,0.0063595732563287485
2010-04-07,37.045530954324974,-0.0013266179093260988,0.0010755759047501035,895374171.0,891263486,0.393413,0.385143,0.400103,0.01987870201273066,0.0024021938140762022,-0.016636828327369024
2010-04-08,41.06779187242935,-0.00179292023035785,0.00016104352612889006,-235840117.0,1131214288,0.386922,0.384925,0.393653,0.019822270215697848,0.00195396375648674,0.0066920895462695505
