Date,RSI_14,MACD_Histogram,Volume,MACD,rolling_logvol_30,MACD_Signal,Close,Low,OBV,High,log_returns
2010-06-29,100.0,0.02931400569800573,281749140.0,0.03664250712250716,0.06212116823083538,0.0073285014245014326,1.59267,1.16933,281749140.0,1.66667,-0.002514664957437069
2010-06-30,99.13670306902058,0.045828684741195364,257915910.0,0.06461435735099563,0.06213869379891718,0.018785672609800273,1.58867,1.55333,23833230.0,2.028,-0.08172477266267149
2010-07-01,78.11771908641009,0.04564993670105959,123447945.0,0.07584809348612476,0.06439953589759646,0.03019815678506517,1.464,1.35133,-99614715.0,1.728,-0.13431233760759392
2010-07-02,59.49922928459476,0.031127094804074974,77127105.0,0.06910702529015889,0.06948146787964085,0.03797993048608391,1.28,1.24733,-176741820.0,1.54,-0.1754700818448528
2010-07-06,46.96679993047106,0.006900030589582003,103189440.0,0.04660496872306141,0.07683157294460649,0.03970493813347941,1.074,1.05533,-279931260.0,1.33333,-0.019433421717931113
2010-07-07,45.99471302118798,-0.010327828362167057,103873710.0,0.026795152680770595,0.07689783506913488,0.03712298104293765,1.05333,0.998667,-383804970.0,1.10867,0.09990577494050405
2010-07-08,51.38234101050165,-0.013860257042675177,115793085.0,0.019797659739593687,0.07913782322024929,0.033657916782268864,1.164,1.038,-268011885.0,1.168,-0.00344234419097279
2010-07-09,51.197736560829924,-0.015909860785780022,60879090.0,0.013770590800043836,0.0791416537662934,0.029680451585823858,1.16,1.10333,-328890975.0,1.19333,-0.020317069943937668
2010-07-12,50.1469190977232,-0.01811994862082098,33053550.0,0.007030515809797633,0.07923539092771167,0.025150464430618615,1.13667,1.13333,-361944525.0,1.20467,0.06196355206706527
2010-07-13,53.14220980038699,-0.01414761174123081,40200900.0,0.007465949754080103,0.08003630878621303,0.021613561495310914,1.20933,1.12667,-321743625.0,1.24267,0.08958593367123056
2010-07-14,57.15743792905314,-0.0038801394541553604,62941650.0,0.016763387177616718,0.08160860823042593,0.020643526631772078,1.32267,1.184,-258801975.0,1.34333,0.002514470851039494
2010-07-15,57.2650281672084,0.002783026311916955,56179455.0,0.024122309521668273,0.081604427966404,0.021339283209751318,1.326,1.26667,-202622520.0,1.43333,0.037013847747481024
2010-07-16,58.81788649791789,0.009809815708285628,39318150.0,0.03360155284510835,0.08180214282687635,0.023791737136822724,1.376,1.33667,-163304370.0,1.42,0.059714495054394155
2010-07-19,61.20505517977928,0.018886361290424668,37297335.0,0.047399688749853564,0.08236393116546606,0.028513327459428896,1.46067,1.39467,-126007035.0,1.48333,-0.07632701267723505
2010-07-20,39.206082909405765,0.01647517135440372,27378465.0,0.04910729165243355,0.08380055121350324,0.03263212029802983,1.35333,1.33667,-153385500.0,1.45667,-0.0039462093981956665
2010-07-21,39.15910667471464,0.013462579548707804,18801630.0,0.049460344733914585,0.08381324996537665,0.03599776518520678,1.348,1.3,-172187130.0,1.39333,0.03785022413109753
2010-07-22,46.915186920392536,0.013858948467391503,14435175.0,0.053321450769446166,0.08400787021422314,0.03946250230205466,1.4,1.358,-157751955.0,1.41667,0.013712692658775248
2010-07-23,57.98297179919099,0.01425469918802915,9810735.0,0.05728087628709111,0.0840055290372434,0.04302617709906196,1.41933,1.404,-147941220.0,1.43733,-0.016094097382054574
2010-07-26,73.4046102737441,0.011917123480802795,13836795.0,0.05792258145006546,0.08410641090808914,0.04600545796926266,1.39667,1.35333,-161778015.0,1.43333,-0.019280092057899958
2010-07-27,72.77120216300176,0.007705820936249566,9295125.0,0.055637734139574624,0.08423502431579066,0.04793191320332506,1.37,1.35067,-171073140.0,1.412,0.008236063318713793
2010-07-28,68.23268846792735,0.004948374248843965,7007745.0,0.05411738101438002,0.08422713142641068,0.04916900676553605,1.38133,1.36733,-164065395.0,1.39333,-0.01801363537291499
2010-07-29,65.94664720668129,0.0009386500919844193,9238650.0,0.05034231938051659,0.08433991137622605,0.04940366928853217,1.35667,1.33333,-173304045.0,1.392,-0.020358111880061917
2010-07-30,65.52057487191055,-0.003818951668485532,6402450.0,0.04462997970292526,0.0844716156035009,0.04844893137141079,1.32933,1.30333,-179706495.0,1.36267,0.04798277224324681
2010-08-02,65.10907490135978,-0.002872582030285356,10787175.0,0.0448582038335541,0.08482100802332476,0.047730785863839456,1.39467,1.35533,-168919320.0,1.398,0.04805683236303046
2010-08-03,62.367671367776886,0.001817737955461085,18465345.0,0.05000295830816581,0.08513907430863489,0.04818522035270473,1.46333,1.388,-150453975.0,1.46333,-0.031939840537652454
2010-08-04,57.4697790064286,0.001287342836814663,13811340.0,0.04979439889872306,0.08544841223688038,0.048507056061908395,1.41733,1.39,-164265315.0,1.47867,-0.038844583578558814
2010-08-05,48.97047112931273,-0.0030009666039194083,11945700.0,0.04475584780700914,0.08585858250963102,0.04775681441092855,1.36333,1.33667,-176211015.0,1.43667,-0.04296120554159722
2010-08-06,36.84756543478631,-0.009625536682450392,11132070.0,0.03572489355786557,0.08632187734932026,0.04535043024031596,1.306,1.30133,-187343085.0,1.344,0.0005128852971763442
2010-08-09,45.1529128230699,-0.01364379571119348,12189840.0,0.028295685601324116,0.08632095966949382,0.041939481312517596,1.30667,1.29667,-175153245.0,1.332,-0.029512808518646304
2010-08-10,42.28292379229166,-0.018254557777967077,19219290.0,0.019121284090058754,0.08654477165181475,0.03737584186802583,1.26867,1.25467,-194372535.0,1.31,-0.06122138918826084
2010-08-11,30.7688012952934,-0.025336331241081696,11964750.0,0.005705427816673714,0.05954813428751501,0.03104175905775541,1.19333,1.19,-206337285.0,1.25867,-0.01690185841573886
2010-08-12,27.13754646840148,-0.030006232369384378,10369215.0,-0.006466031403975059,0.05954685407213519,0.02354020096540932,1.17333,1.15933,-216706500.0,1.19333,0.040094568853638095
2010-08-13,34.437462278552914,-0.028511623297359102,9517695.0,-0.012099328156289557,0.05864097235855484,0.016412295141069545,1.22133,1.17733,-207188805.0,1.23,0.02480184379549892
2010-08-16,39.600592237459004,-0.02427254489261415,7293165.0,-0.013928385974698143,0.053619991386875794,0.010344158917916008,1.252,1.21733,-199895640.0,1.25333,0.019512852809187103
2010-08-17,40.988151822001804,-0.01886308971731298,6718215.0,-0.01323470322872522,0.042340667155711297,0.005628386488587761,1.27667,1.252,-193177425.0,1.29333,-0.020048139819687383
2010-08-18,40.94020916471722,-0.016152166205628222,9019980.0,-0.014561821268447517,0.04235342774743665,0.0015903449371807055,1.25133,1.24,-202197405.0,1.306,0.0010702876421051788
2010-08-19,43.098170556035726,-0.013535271826838372,8686230.0,-0.01532874484636726,0.03843933980895008,-0.0017934730195288875,1.25267,1.222,-193511175.0,1.28333,0.016358242836389026
2010-08-20,38.11976188611263,-0.009850688127094583,4462485.0,-0.014106833178397116,0.03850466408424806,-0.004256145051302533,1.27333,1.234,-189048690.0,1.274,0.052525522403589486
2010-08-23,38.120973584757884,-0.002603711660865594,16320435.0,-0.007510784627384526,0.03926579364370562,-0.004907072966518932,1.342,1.26667,-172728255.0,1.35933,-0.04730096061796425
2010-08-24,36.96291936433197,-0.001836914650543431,10096110.0,-0.007203216279698221,0.038917167759413465,-0.00536630162915479,1.28,1.26333,-182824365.0,1.314,0.03581196525636845
2010-08-25,46.4706561922366,0.0017672868795254003,7549335.0,-0.00315719302974804,0.0358569489813514,-0.00492447990927344,1.32667,1.23733,-175275030.0,1.332,-0.0075662213006084614
2010-08-26,51.13022477384912,0.003340405380213937,6506040.0,-0.0007489731840060188,0.03588077481516357,-0.004089378564219956,1.31667,1.30667,-181781070.0,1.35133,-0.0025399253198399026
2010-08-27,50.70149568148306,0.003975427096911923,5672175.0,0.0008799053069199481,0.035184796304402,-0.0030955217899919754,1.31333,1.3,-187453245.0,1.32467,0.008597475247219589
2010-08-30,56.24944201410588,0.0049169615379897474,10990965.0,0.0030506801324952093,0.03330282687202524,-0.0018662814054945386,1.32467,1.30733,-176462280.0,1.346,-0.019822707970667614
2010-08-31,63.21043391020818,0.00360709710846171,3015180.0,0.002642589980082599,0.03050840686169117,-0.0009645071283791111,1.29867,1.28867,-179477460.0,1.31933,0.048589572551838836
2010-09-01,71.42728256946951,0.006732252839285265,7423275.0,0.00745080892072747,0.03183464405467724,0.000718556081442205,1.36333,1.30667,-172054185.0,1.37933,0.029395069207782662
2010-09-02,70.94695319129417,0.010927037537512,7305900.0,0.014377353003332205,0.03152739045875079,0.003450315465820205,1.404,1.354,-164748285.0,1.416,-0.00047732187717213853
2010-09-03,68.6353225131148,0.012909220253834246,6389340.0,0.019586840783113013,0.03142231314797294,0.006677620529278767,1.40333,1.37733,-171137625.0,1.42,-0.02452641460579417
2010-09-07,61.15417950693375,0.011244212160462931,3650025.0,0.02073288572985743,0.031604928107197235,0.0094886735693945,1.36933,1.36667,-174787650.0,1.4,0.01737499640054286
