Date,ATR_14,Volume,Bollinger_Upper,EMA_20,SMA_20,MACD_Histogram,High,Close,Open,Low,rolling_logvol_30
2010-02-17,0.1622128571428572,515983979.0,6.346513634621759,6.040039768045321,6.008898,0.03382190875400341,6.14805,6.09524,6.14667,6.04546,0.0212473092715903
2010-02-18,0.1488457142857143,500009552.0,6.291531092752177,6.0464216948981475,5.995658000000001,0.037744829393358395,6.13591,6.10705,6.06753,6.04741,0.021095162967038825
2010-02-19,0.12764214285714295,492827712.0,6.2570329618469955,6.04855486681261,5.9860405,0.03664419061755805,6.11514,6.06882,6.07413,6.05206,0.02111289113136831
2010-02-22,0.12465714285714295,463360248.0,6.261232154654776,6.046890593782837,5.990067000000001,0.032400330558699134,6.09384,6.03108,6.09236,5.99432,0.021229315770623543
2010-02-23,0.13042214285714296,682456792.0,6.2471549179032175,6.035781965803519,5.981006000000001,0.022308727133354425,6.05886,5.93025,6.01559,5.88945,0.0215180417770512
2010-02-24,0.1273400000000001,546126685.0,6.221051346948832,6.0360846357269935,5.9731125,0.022402397157277154,6.06142,6.03896,5.9739,5.9535,0.021483527255028684
2010-02-25,0.1237642857142858,789008993.0,6.180407770919916,6.040149908514898,5.964278,0.02442699228852932,6.10489,6.07877,5.93942,5.92513,0.021459780071193067
2010-02-26,0.11952785714285723,601684006.0,6.204827609792238,6.051327060084908,5.972290500000001,0.029984468842477456,6.17417,6.15751,6.09256,6.07877,0.02181231283985781
2010-03-01,0.12172285714285717,651862621.0,6.252071578435383,6.073988292457774,5.9977800000000006,0.04078022679051893,6.30455,6.28927,6.1914,6.18303,0.021581061571654393
2010-03-02,0.12107571428571427,671705585.0,6.295107678030574,6.09413512174751,6.019042499999999,0.045553066730083,6.34446,6.28553,6.31855,6.25192,0.02000786167533695
2010-03-03,0.1202221428571428,440769502.0,6.335469085704587,6.1136755863429855,6.039334,0.047314919005437356,6.31577,6.29931,6.2949,6.25734,0.019856334003078555
