Date,RSI_14,MACD_Histogram,MACD,OBV,Close,MACD_Signal,Low,High,Open,rolling_logvol_30,log_returns
2010-02-17,44.352883124206976,0.03382190875400341,-0.06982995792993218,3114641415.0,6.09524,-0.1036518666839356,6.04546,6.14805,6.14667,0.021245986129075946,0.0019357028373556467
2010-02-18,54.68303460983955,0.037744829393358395,-0.05647082994223762,3614650967.0,6.10705,-0.09421565933559602,6.04741,6.13591,6.06753,0.0212473092715903,-0.006279654042010048
2010-02-19,64.57397296153763,0.03664419061755805,-0.04841042106364846,3121823255.0,6.06882,-0.08505461168120651,6.05206,6.11514,6.07413,0.021095162967038825,-0.006238088312077068
2010-02-22,58.99326032013478,0.032400330558699134,-0.0445541984828326,2658463007.0,6.03108,-0.07695452904153173,5.99432,6.09384,6.09236,0.02111289113136831,-0.016859728542404955
2010-02-23,51.80735920096732,0.022308727133354425,-0.0490686201248387,1976006215.0,5.93025,-0.07137734725819313,5.88945,6.05886,6.01559,0.021229315770623543,0.018165441053637963
2010-02-24,52.132053547889456,0.022402397157277154,-0.043374350811596685,2522132900.0,6.03896,-0.06577674796887384,5.9535,6.06142,5.9739,0.0215180417770512,0.006570561189912067
2010-02-25,67.65926834445833,0.02442699228852932,-0.035243007608212196,3311141893.0,6.07877,-0.059669999896741516,5.92513,6.10489,5.93942,0.021483527255028684,0.012870102166407108
2010-02-26,66.72006407689226,0.029984468842477456,-0.0221894138436447,3912825899.0,6.15751,-0.05217388268612216,6.07877,6.17417,6.09256,0.021459780071193067,0.021172531696516967
2010-03-01,74.41449113957222,0.04078022679051893,-0.0011985991979734933,4564688520.0,6.28927,-0.041978825988492424,6.18303,6.30455,6.1914,0.02181231283985781,-0.0005948404921397567
2010-03-02,72.23802971289965,0.045553066730083,0.014962507424111315,3892982935.0,6.28553,-0.03059055930597168,6.25192,6.34446,6.31855,0.021581061571654393,0.0021899373384494125
2010-03-03,75.42371871985137,0.047314919005437356,0.02855308945082502,4333752437.0,6.29931,-0.01876182955461234,6.25734,6.31577,6.2949,0.02000786167533695,0.006520680423418253
2010-03-04,73.35382310781665,0.04873986158507451,0.0421629974267308,4759209533.0,6.34052,-0.006576864158343713,6.27912,6.34712,6.3009,0.019856334003078555,0.03843625486515638
2010-03-05,78.76636206470734,0.06299342249579125,0.07216491396139535,5825822673.0,6.58897,0.0091714914656041,6.45898,6.61123,6.46999,0.020776521650201253,0.000596273535764071
2010-03-08,76.67262079725057,0.06879224772013716,0.09516180111577555,6335382974.0,6.5929,0.02636955339563839,6.56808,6.62365,6.6197,0.018256801065278674,0.017766579418084037
2010-03-09,81.51946935265933,0.07612220105472299,0.12152230471404213,7426786294.0,6.71108,0.04540010365931914,6.55773,6.77129,6.5654,0.0179346842285552,0.008215207449415776
2010-03-10,82.30815212598114,0.0798450640247858,0.1452064336903014,8133727157.0,6.76644,0.06536136966551559,6.71659,6.78606,6.73255,0.017847295011044068,0.0029396160711626586
2010-03-11,85.79967270695298,0.07866823294908279,0.16369666085186907,8614242853.0,6.78636,0.08502842790278628,6.72081,6.78636,6.73649,0.017805259988404907,0.004823048216658477
2010-03-12,89.51395365161491,0.0751253688687208,0.1789351389886873,9107203955.0,6.81917,0.10380977011996649,6.79326,6.85267,6.83266,0.015659746634652125,-0.012272971191098742
2010-03-15,91.1268094489475,0.06271180718995203,0.18219952910740655,8522443582.0,6.73599,0.11948772191745452,6.62828,6.78636,6.78636,0.01397294617117466,0.0026893772529088525
2010-03-16,90.22283213912102,0.05171207633023625,0.18412781733024985,9052489048.0,6.75413,0.1324157410000136,6.69627,6.7706,6.74575,0.013879589853774812,-0.0015335710533648877
2010-03-17,88.68361351870166,0.04023910378091006,0.1827146207261512,8517952082.0,6.74378,0.14247551694524113,6.71915,6.81454,6.76537,0.013925097785650655,0.002494003247653552
2010-03-18,87.8054284460603,0.030714433910125155,0.18086855933289758,8923409672.0,6.76062,0.15015412542277243,6.69883,6.77129,6.73816,0.01372206090353974,-0.01069506644838673
2010-03-19,77.06862200295465,0.0171757610985252,0.1716238267959289,8260112201.0,6.6887,0.1544480656974037,6.65745,6.77858,6.77591,0.011741142527281142,0.011221506777592082
2010-03-22,79.56272002964612,0.011198485221041693,0.16844617222370584,8801272196.0,6.76418,0.15724768700266414,6.62532,6.80084,6.63556,0.01155867963307579,0.015870892954114722
2010-03-23,81.69760392929048,0.012337113655452009,0.17266907907197915,9515684704.0,6.87239,0.16033196541652714,6.74328,6.88519,6.79098,0.011524521098716475,0.004279005385558798
2010-03-24,81.4567829283601,0.012823042643990062,0.17636076872151474,10225155469.0,6.90186,0.16353772607752468,6.84617,6.92787,6.85662,0.011484661279399285,-0.011764327182750715
2010-03-25,66.02255317386923,0.005813104380118533,0.17080410655267286,9581495032.0,6.82114,0.16499100217255433,6.80892,6.95133,6.94778,0.01174352035740045,0.018579785319111225
2010-03-26,70.98762522097819,0.007774042426847594,0.17470855520611384,10341638449.0,6.94906,0.16693451277926624,6.87819,6.97952,6.8919,0.011767584440037678,0.006318979982954074
2010-03-29,68.21028707207147,0.009884850257994293,0.1792905756017591,10967135338.0,6.99311,0.1694057253437648,6.97004,7.03806,7.00907,0.011751983395217986,0.01484259147227971
2010-03-30,70.10976468588358,0.015818656973108636,0.1891790465601506,11590590000.0,7.09768,0.17336038958704197,7.04969,7.14696,7.12233,0.01174727518403588,-0.003603434568379525
2010-03-31,67.23308288811967,0.015498853390036121,0.19273395632458712,11080530069.0,7.07215,0.177235102934551,7.05599,7.12064,7.09768,0.01173113058704653,0.004075308430464159
2010-04-01,67.07704238664175,0.014713166723245852,0.19562656133860834,11795438215.0,7.10103,0.1809133946153625,7.00465,7.18491,7.15187,0.011718637547390462,0.01065834443807434
2010-04-05,76.95833384259987,0.016655958184297853,0.2017333423457348,12604321083.0,7.17712,0.18507738416143696,7.06515,7.17741,7.07185,0.011562113726019728,0.004436218492435309
2010-04-06,77.33971199846135,0.0173496358524578,0.2067644289770092,13133336897.0,7.20903,0.1894147931245514,7.13237,7.22963,7.17012,0.011347788871634512,0.004270224796011386
2010-04-07,79.09882220449524,0.01711683941174985,0.21081084238923875,13878240160.0,7.23988,0.1936940029774889,7.18263,7.28009,7.21435,0.010508094828041067,-0.0026582702054028036
2010-04-08,76.90858894270124,0.013081187355737212,0.21004548717216043,13198797175.0,7.22066,0.19696429981642322,7.16233,7.26946,7.23427,0.010408582410675658,0.007670632467943642
2010-04-09,85.03637447823479,0.011618557557786902,0.21148749676365686,13594956384.0,7.27626,0.19986893920586996,7.23574,7.27909,7.26698,0.010412754865637378,0.002014115963239529
2010-04-12,83.86632205634622,0.009206783711430633,0.21137741884515826,13990099194.0,7.29093,0.20217063513372763,7.27705,7.31487,7.31015,0.010354017779791957,0.0006499115855432577
2010-04-13,81.39034736436162,0.005671840409673418,0.20926043564581942,14351905494.0,7.29567,0.203588595236146,7.25585,7.30701,7.28915,0.00996240655838603,0.013402715845064948
2010-04-14,83.11737240813235,0.007585011649900164,0.21306985979852122,14830736525.0,7.39411,0.20548484814862106,7.34492,7.39788,7.37795,0.010021474518194996,0.012991863573198176
2010-04-15,94.10532694030228,0.012683695252225957,0.22133946721390352,15276505725.0,7.4908,0.20865577196167756,7.38811,7.49454,7.4015,0.010095405015532822,-0.006151739511875468
2010-04-16,86.60769662423566,0.010380492772435024,0.22163138792722137,14386356136.0,7.44486,0.21125089515478634,7.35931,7.55692,7.49326,0.010325603742304975,-0.001309141731518002
2010-04-19,84.37786799819548,0.00584520936200128,0.21855740685728797,13714214654.0,7.43512,0.2127121974952867,7.27546,7.46024,7.41905,0.008281843827390762,-0.01003251178725114
2010-04-20,71.48664533402979,-0.003979637460053531,0.20773765067021976,12860208331.0,7.3609,0.2117172881302733,7.31133,7.50044,7.50024,0.008652723122873069,0.05802229179108483
2010-04-21,85.47607916471867,0.016203313270419017,0.2319714297182971,14023701840.0,7.80063,0.21576811644787808,7.69547,7.83197,7.77225,0.012962041392572095,0.027685292602438585
2010-04-22,87.74510609621797,0.04001186661485051,0.26578294971644123,14963030272.0,8.01961,0.22577108310159072,7.71007,8.0271,7.77029,0.013599559694084343,0.01611463796207647
2010-04-23,88.26759820929806,0.05909297181182016,0.29963729786636595,15907371234.0,8.14989,0.2405443260545458,8.0346,8.19049,8.035,0.0137207430174966,-0.004862173444624209
2010-04-26,85.24592728154353,0.06323917870247947,0.31959329943264514,15339705618.0,8.11036,0.25635412073016567,8.07096,8.19946,8.1844,0.013865082244384666,-0.028030396329649727
2010-04-27,71.9537215685209,0.04587906315114809,0.31370294966910084,14499602272.0,7.88618,0.26782388651795275,7.83977,8.06071,8.0346,0.014836971489783876,-0.0016866481525364683
2010-04-28,72.24476988874719,0.02930318674051724,0.3044528699435993,13600508342.0,7.87289,0.2751496832030821,7.71637,7.945,7.91387,0.014884498822107897,0.026469009279753004
2010-04-29,74.90749876665024,0.028345515992328763,0.3105815781934931,14262889636.0,8.08406,0.2822360622011643,7.88519,8.12594,7.91585,0.015325083112708084,-0.028449912903945
2010-04-30,65.44380698922387,0.00921560015784384,0.2937555623984691,13619975419.0,7.85731,0.2845399622406253,7.85434,8.14201,8.11746,0.01656346347512585,0.019967790177935513
2010-05-03,68.11679522594736,0.004261331195847096,0.28986662623543413,14158090004.0,8.01578,0.28560529503958704,7.91052,8.06169,7.95724,0.01650682892711432,-0.029382864786606015
2010-05-04,59.18333671213116,-0.016483183361900577,0.2650013158372113,13300362601.0,7.78368,0.2814844991991119,7.72593,7.92283,7.8985,0.017689076392075898,-0.01033369346552468
2010-05-05,55.05749857441552,-0.03629429739689399,0.23611662745299444,12254146134.0,7.70366,0.27241092484988844,7.48568,7.76899,7.61052,0.01776422617618624,-0.03872206159412069
2010-05-06,49.28117529965206,-0.06796547966218075,0.1874540752721625,10736316454.0,7.41106,0.25541955493434326,5.99597,7.77195,7.64324,0.019385606507587548,-0.04315056290123819
2010-05-07,43.65089232229844,-0.10655640230710586,0.12222405205046094,8747263876.0,7.09807,0.2287804543575668,6.7774,7.41975,7.34278,0.020958027900402673,0.07397251368547357
2010-05-10,54.5141533282561,-0.092465617786812,0.11319843212405178,9912890838.0,7.64304,0.2056640499108638,7.47975,7.66334,7.55809,0.024646055312315847,0.010018934242596087
2010-05-11,48.54052253745986,-0.0757501790345986,0.11097632611761554,10919661581.0,7.72,0.18672650515221415,7.53869,7.82133,7.58412,0.024671585480691538,0.021510504627441487
2010-05-12,47.57023720386401,-0.052292233156431445,0.12136121370667485,11695303052.0,7.88786,0.1736534468631063,7.78437,7.91839,7.81364,0.024808845160825224,-0.014461572628626258
2010-05-13,43.035254292649974,-0.04365851761992656,0.11908029983819812,10984601647.0,7.77461,0.16273881745812468,7.71607,7.97458,7.92184,0.024994839198493816,-0.01773667197697351
2010-05-14,41.53742534813651,-0.04616467737385391,0.10503297074080731,10085519231.0,7.63793,0.15119764811466122,7.50822,7.71885,7.68089,0.0252827764428891,0.0015450362742446197
2010-05-17,45.415910536193444,-0.045940214570867915,0.09377237990107634,10989447132.0,7.64974,0.13971259447194426,7.45501,7.70927,7.64856,0.025235201070593332,-0.007239458813766951
2010-05-18,44.69000041971757,-0.048186455418586405,0.07947952519871126,10064095854.0,7.59456,0.12766598061729767,7.5311,7.78072,7.73549,0.025288317732952197,-0.016051376631617605
2010-05-19,37.9388833345847,-0.055949718509103755,0.05772883248091798,8848332209.0,7.47363,0.11367855099002173,7.36868,7.61172,7.50744,0.025489482886033473,-0.04363370465150857
2010-05-20,36.603238387897406,-0.07928256871569699,0.014575340095400513,7331194162.0,7.15454,0.0938579088110975,7.10754,7.33843,7.26471,0.026761635469958998,0.019047192835698598
2010-05-21,36.094265224710036,-0.08182667438315376,-0.008425434167844692,8782836665.0,7.29212,0.07340124021530907,6.96227,7.35765,6.97103,0.02695845376607209,0.018093387839128443
2010-05-24,42.84036339520426,-0.07130428237996153,-0.015729112759642838,9676626066.0,7.42526,0.05557516962031869,7.41166,7.55021,7.44082,0.027157491247421544,-0.006259059259739779
2010-05-25,43.424841153816566,-0.06443450319560629,-0.024967959374189164,8435686074.0,7.37893,0.03946654382141712,7.13778,7.42526,7.2189,0.02718640751499572,-0.004416883123783242
2010-05-26,48.53686025827301,-0.05918605493597999,-0.03451602484855787,7427989539.0,7.34641,0.024670030087422124,7.33549,7.58766,7.52923,0.027086511456664863,0.03706842124563547
2010-05-27,62.093728291922176,-0.03531377592840123,-0.01947218982307941,8212889462.0,7.62384,0.01584158610532182,7.4966,7.63991,7.54489,0.0278376071781997,0.013837738412936791
2010-05-28,52.50808362007851,-0.01186496173121387,0.0010103839413044824,9179685013.0,7.73007,0.012875345672518352,7.62384,7.80654,7.79905,0.027909890845909113,0.015222350191680332
2010-06-01,53.62039851401553,0.010903759958482343,0.02650504562062128,10217027512.0,7.84864,0.015601285662138939,7.79274,8.00384,7.81551,0.028020535716437478,0.012043928726101803
