Date,RSI_14,MACD_Histogram,MACD,rolling_logvol_30,OBV,Close,Low,High,Open,MACD_Signal,log_returns
2010-02-17,37.92222867092283,0.04819800570522098,-0.43369095139458835,0.01420402859532385,-207293424.39687607,21.9706,21.7978,22.0173,21.9628,-0.48188895709980933,0.01330625141768946
2010-02-18,47.83972750089638,0.09312069523253158,-0.3654880880591449,0.014492161914704734,-151569859.39811307,22.2649,21.9143,22.3115,21.9706,-0.4586087832916765,-0.006995021153165744
2010-02-19,58.228170345855915,0.11067237332444774,-0.3202683166361169,0.014500213535160695,-209409862.33684206,22.1097,22.0474,22.2234,22.2234,-0.4309406899605646,-0.0014529064073504076
2010-02-22,54.67562380038388,0.11775205343534756,-0.2837506231663802,0.014418297142824664,-257172417.82761908,22.0776,22.0173,22.2396,22.167,-0.4015026766017278,-0.013906628406708633
2010-02-23,48.25676569955764,0.1002191201199974,-0.27622877645173105,0.014476769949292149,-325176148.64183706,21.7727,21.5843,22.1601,22.0347,-0.37644789657172845,0.01046737675099758
2010-02-24,50.0,0.1020287957024627,-0.2489119019436501,0.014533072057923285,-269022193.86734104,22.0018,21.8085,22.127,21.928,-0.3509406976461128,-0.0010550155138156977
2010-02-25,62.16940073652496,0.09953343678418486,-0.22652390166588177,0.014506217227461498,-332381853.73821306,21.9786,21.5349,22.0173,21.6502,-0.3260573384500666,0.002549230817995851
2010-02-26,60.82849467024873,0.09930446038586355,-0.20192676296773726,0.01438348064881538,-279852866.41988504,22.0347,21.9143,22.1728,22.0096,-0.3012312233536008,0.012183418443221392
2010-03-01,71.24191351719443,0.11393865706963086,-0.15880790201656225,0.014044837166420382,-222895916.02560502,22.3048,21.928,22.3272,22.1097,-0.2727465590861931,-0.019558046183149175
2010-03-02,56.73384891805333,0.09205558290844287,-0.15767708045063955,0.014399774051341336,-344065557.102255,21.8728,21.7038,22.5163,22.335,-0.24973266335908242,0.0
2010-03-03,57.124316671254995,0.07579075522118564,-0.15499421933260038,0.014270874132926565,-344065557.102255,21.8728,21.7891,21.9854,21.921,-0.23078497455378602,0.005880412435747503
2010-03-04,57.65720278090647,0.07195970089441989,-0.14083534843576118,0.014105344807588117,-288260086.562633,22.0018,21.7271,22.0173,21.8581,-0.21279504933018106,-0.0014190722014622052
2010-03-05,60.269578985830904,0.06573512456824238,-0.13062614361987812,0.013754757652590219,-361126862.31509495,21.9706,21.8397,22.0417,22.0096,-0.1963612681881205,0.001419072201462279
2010-03-08,54.90114751831879,0.062169036176181,-0.11864997296789426,0.012170499309074205,-309842494.211468,22.0018,21.9058,22.2317,21.9143,-0.18081900914407525,0.006017726899220142
2010-03-09,53.865736375636395,0.06679835559887828,-0.0973210646454774,0.012000247045854527,-244434985.725682,22.1346,21.9398,22.3718,21.9486,-0.1641194202443557,0.005869452317007245
2010-03-10,50.0,0.07600993017083335,-0.069107007530814,0.0119958522645711,-186023100.23675698,22.2649,22.1346,22.3718,22.1803,-0.14511693770164735,0.007218470809409006
2010-03-11,58.06040849589983,0.08941579310909706,-0.03334719631527605,0.012022903949875163,-140029018.53529498,22.4262,22.1728,22.4349,22.2494,-0.12276298942437311,0.0030764802823175664
2010-03-12,60.44093385992105,0.09866001196769483,0.0005620255352454251,0.011607340752406213,-98783060.66691598,22.4953,22.3193,22.5776,22.531,-0.09809798643244941,0.000626601242151924
2010-03-15,71.54723603392813,0.10107635807957804,0.028247461167023147,0.009635402997905442,-49972968.015155986,22.5094,22.2969,22.5708,22.4486,-0.0728288969125549,0.0027240357393072253
2010-03-16,68.45245816578033,0.10187465900855316,0.054514426848136566,0.009553193446708786,-2185607.0816869885,22.5708,22.4418,22.6632,22.6109,-0.047360232160416606,0.009037142646619001
2010-03-17,73.12445604873812,0.11054259411262855,0.09081801048036908,0.009662109723933762,63375622.85192201,22.7757,22.5941,22.9543,22.6689,-0.01972458363225947,-0.000676387938647457
2010-03-18,71.559305918707,0.109377695704784,0.11699753599872054,0.009630163473000901,6350035.758585013,22.7603,22.6689,22.8369,22.7757,0.007619840293936534,-0.0007296062208325963
2010-03-19,65.35366962848954,0.10178495855483133,0.1348510384874757,0.007937614483515586,-99479958.075645,22.7437,22.5564,22.9786,22.901,0.03306607993264437,0.0004264008100282512
2010-03-22,93.72393247269129,0.09200781648593544,0.14807585054006367,0.007898679133854357,-50421689.472353,22.7534,22.5853,22.8242,22.6689,0.05606803405412823,0.009117380811219199
2010-03-23,94.80006582195173,0.09384493105153804,0.1733741978685508,0.007641134440175662,4251089.126380004,22.9618,22.603,22.9786,22.7757,0.07952926681701275,-0.007589107462312038
2010-03-24,81.20634920634927,0.078273092929802,0.17737063297926525,0.00770725410432634,-39977606.335265994,22.7882,22.7534,22.9409,22.8098,0.09909754004946325,0.012021430647087375
2010-03-25,86.33342196224406,0.08109445639177018,0.200465610539176,0.00790533970629378,55234596.231904,23.0638,22.901,23.4943,22.9252,0.11937115414740582,-0.011679206803030773
2010-03-26,72.80873061458928,0.060433072547763284,0.19491249483210993,0.008294106662027472,-17105556.656068996,22.796,22.7437,23.2088,23.1417,0.13447942228434664,-0.0022968980029922682
2010-03-29,68.34086118638966,0.03975122886722049,0.18416845836837226,0.00817942426536001,-60472898.928802,22.7437,22.7099,22.9164,22.8242,0.14441722950115177,0.0059574998715326444
2010-03-30,68.44727207250463,0.032060621017421465,0.1844930057729286,0.007840743660774432,-14990636.744108997,22.8796,22.6689,22.9486,22.7099,0.15243238475550713,-0.016312684097978786
2010-03-31,52.21866666666661,0.0005446301772675244,0.15311317247709155,0.008387312134910554,-97951886.78102401,22.5094,22.4184,22.8369,22.7882,0.15256854229982403,-0.00444802364747826
2010-04-01,47.74897680763987,-0.02700385562174773,0.11881372277263935,0.008096318998022033,-195223839.13789,22.4095,21.9931,22.7001,22.5564,0.14581757839438708,0.0038214224053262666
2010-04-05,49.64348925410875,-0.03870896155681111,0.09743137644837319,0.008004451608277473,-150558313.095124,22.4953,22.3115,22.6109,22.3562,0.1361403380051843,0.0015857402220858586
2010-04-06,48.98042832257404,-0.04297918233938869,0.08241636008094844,0.007997110331090839,-89211001.199172,22.531,22.2737,22.7358,22.3639,0.12539554242033712,0.0011267007051642224
2010-04-07,43.81312418890705,-0.04292487280339535,0.07173945141609295,0.00750776017523599,-13329766.835413009,22.5564,22.3962,22.7184,22.4027,0.1146643242194883,0.01922751969982078
2010-04-08,55.33078184800434,-0.013740257646704154,0.09748900216110812,0.008033441402540004,69216094.50848399,22.9943,22.5163,23.041,22.5163,0.11122925980781227,0.013872016323503144
2010-04-09,61.43874529887173,0.024756558432456277,0.14217495784838263,0.008328460459272422,140450767.703852,23.3155,22.9786,23.369,23.0173,0.11741839941592636,-0.0005362678035357505
2010-04-12,60.98233554472069,0.04571963531031323,0.17456794355381788,0.00834008272546064,92218736.82076201,23.303,23.2088,23.4341,23.2527,0.12884830824350466,0.004196648845073603
2010-04-13,59.18136967973912,0.061541632566832316,0.20577534895204508,0.008124038860008054,146020846.028865,23.401,23.1563,23.4431,23.1893,0.14423371638521276,0.012092734016115759
2010-04-14,67.92920212553442,0.08508637748071485,0.25059168823610634,0.007294521338720465,235682064.05610502,23.6857,23.565,23.8264,23.6292,0.1655053107553915,0.0015482589401873078
2010-04-15,64.5450530035336,0.09621662688524935,0.28577609436195317,0.007280558573206184,304306902.10474503,23.7224,23.6021,23.7846,23.6777,0.18955946747670382,-0.006406849098161938
2010-04-16,68.04022908227418,0.0867524634618389,0.2980000468040025,0.007439690070065538,188889783.86812502,23.5709,23.5174,23.8087,23.6292,0.2112475833421636,0.01203543304461245
