Date,ATR_14,OBV,Volume,MACD_Histogram,Bollinger_Upper,EMA_20,High,SMA_20,Close,Open,rolling_logvol_30
2010-02-17,0.5419571428571422,-207293424.39687607,59537455.880524,0.04819800570522098,23.261065983677444,22.06690803439295,22.0173,22.035415,21.9706,21.9628,0.014492161914704734
2010-02-18,0.5165785714285706,-151569859.39811307,55723564.998763,0.09312069523253158,22.996166663099338,22.08576441206981,22.3115,21.97365,22.2649,21.9706,0.014500213535160695
2010-02-19,0.40802857142857085,-209409862.33684206,57840002.938729,0.11067237332444774,22.814573012814087,22.088043991872688,22.2234,21.925945000000002,22.1097,22.2234,0.014418297142824664
2010-02-22,0.392971428571428,-257172417.82761908,47762555.490777,0.11775205343534756,22.795065862867382,22.08704932598005,22.2396,21.916965,22.0776,22.167,0.014476769949292149
2010-02-23,0.4139785714285709,-325176148.64183706,68003730.814218,0.1002191201199974,22.709720345659402,22.05711129493433,22.1601,21.87905,21.7727,22.0347,0.014533072057923285
2010-02-24,0.402178571428571,-269022193.86734104,56153954.774496,0.1020287957024627,22.592127389084034,22.05184355255963,22.127,21.845695,22.0018,21.928,0.014506217227461498
2010-02-25,0.39176428571428523,-332381853.73821306,63359659.870872,0.09953343678418486,22.40513522228178,22.04486797612538,22.0173,21.804475,21.9786,21.6502,0.01438348064881538
2010-02-26,0.3711142857142851,-279852866.41988504,52528987.318328,0.09930446038586355,22.327406853567624,22.043899597446774,22.1728,21.785735000000003,22.0347,22.0096,0.014044837166420382
2010-03-01,0.3716714285714282,-222895916.02560502,56956950.39428,0.11393865706963086,22.403125629772983,22.068747254832797,22.3272,21.818115,22.3048,22.1097,0.014399774051341336
2010-03-02,0.39579285714285667,-344065557.102255,121169641.07665,0.09205558290844287,22.405544569236056,22.050085611515385,22.5163,21.820055,21.8728,22.335,0.014270874132926565
2010-03-03,0.38789999999999913,-344065557.102255,62994388.759147,0.07579075522118564,22.405544569236056,22.033201267561537,21.9854,21.820055,21.8728,21.921,0.014105344807588117
2010-03-04,0.3703499999999992,-288260086.562633,55805470.539622,0.07195970089441989,22.405544569236056,22.030210670650916,22.0173,21.820055,22.0018,21.8581,0.013754757652590219
2010-03-05,0.3553857142857133,-361126862.31509495,72866775.752462,0.06573512456824238,22.40229345704716,22.024533463922257,22.0417,21.848734999999998,21.9706,22.0096,0.012170499309074205
2010-03-08,0.35444999999999915,-309842494.211468,51284368.103627,0.062169036176181,22.409043155062573,22.022368372120134,22.2317,21.87208,22.0018,21.9143,0.012000247045854527
2010-03-09,0.3690071428571421,-244434985.725682,65407508.485786,0.06679835559887828,22.391289632208892,22.033057098584884,22.3718,21.91348,22.1346,21.9486,0.0119958522645711
2010-03-10,0.3575785714285709,-186023100.23675698,58411885.488925,0.07600993017083335,22.416481697733843,22.05513737491013,22.3718,21.950325,22.2649,22.1803,0.012022903949875163
2010-03-11,0.36076428571428515,-140029018.53529498,45994081.701462,0.08941579310909706,22.46024937970129,22.09047667253774,22.4349,21.99611,22.4262,22.2494,0.011607340752406213
2010-03-12,0.3633357142857138,-98783060.66691598,41245957.868379,0.09866001196769483,22.5177804449775,22.129031275153192,22.5776,22.0405,22.4953,22.531,0.009635402997905442
2010-03-15,0.34177142857142784,-49972968.015155986,48810092.65176,0.10107635807957804,22.531821521985698,22.165256867995748,22.5708,22.092734999999998,22.5094,22.4486,0.009553193446708786
2010-03-16,0.33227857142857076,-2185607.0816869885,47787360.933469,0.10187465900855316,22.59557692634921,22.203880023424723,22.6632,22.131819999999998,22.5708,22.6109,0.009662109723933762
2010-03-17,0.3252142857142853,63375622.85192201,65561229.933609,0.11054259411262855,22.71064329259575,22.258339068812845,22.9543,22.172075,22.7757,22.6689,0.009630163473000901
2010-03-18,0.31874999999999964,6350035.758585013,57025587.093337,0.109377695704784,22.79559566236643,22.306144871783047,22.8369,22.196845,22.7603,22.7757,0.007937614483515586
2010-03-19,0.32039285714285676,-99479958.075645,105829993.83423,0.10178495855483133,22.87323905710243,22.347816788756088,22.9786,22.228545,22.7437,22.901,0.007898679133854357
2010-03-22,0.27942142857142827,-50421689.472353,49058268.603292,0.09200781648593544,22.943525540698325,22.38644376125551,22.8242,22.262335,22.7534,22.6689,0.007641134440175662
2010-03-23,0.2922285714285712,4251089.126380004,54672778.598733,0.09384493105153804,23.03007310396935,22.44123959351689,22.9786,22.32179,22.9618,22.7757,0.00770725410432634
2010-03-24,0.28638571428571424,-39977606.335265994,44228695.461646,0.078273092929802,23.081801477606597,22.47428344175338,22.9409,22.36111,22.7882,22.8098,0.00790533970629378
2010-03-25,0.3223928571428572,55234596.231904,95212202.56717,0.08109445639177018,23.177045212175212,22.530427875872103,23.4943,22.415370000000003,23.0638,22.9252,0.008294106662027472
2010-03-26,0.33233571428571423,-17105556.656068996,72340152.887973,0.060433072547763284,23.21109052865752,22.55572045912238,23.2088,22.453435,22.796,23.1417,0.00817942426536001
2010-03-29,0.31622857142857136,-60472898.928802,43367342.272733,0.03975122886722049,23.240298815368867,22.573623272539294,22.9164,22.475379999999998,22.7437,22.8242,0.007840743660774432
2010-03-30,0.31926428571428545,-14990636.744108997,45482262.184693,0.032060621017421465,23.255368453492682,22.602763913249838,22.9486,22.52572,22.8796,22.7099,0.008387312134910554
